Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,Rent
Apartments,2,2,Unfurnished,1000,2750,South,13,"₹ 2,750"
Apartments,2,2,Furnished,850,0,North-East,7,"₹ 39,500"
Apartments,2,2,Unfurnished,920,0,East,5,"₹ 18,000"
Apartments,2,2,Semi-Furnished,715,0,North-East,19,"₹ 17,000"
Apartments,2,2,Semi-Furnished,650,2100,North,5,"₹ 16,100"
Apartments,1,1,Furnished,200,0,East,3,"₹ 15,000"
Apartments,2,2,Furnished,1000,1000,East,4,"₹ 12,000"
Houses & Villas,1,2,Unfurnished,711,0,East,1,"₹ 6,000"
Apartments,2,2,Semi-Furnished,860,0,North-East,7,"₹ 15,000"
Apartments,1,1,Unfurnished,250,0,East,4,"₹ 5,000"
Apartments,1,1,Semi-Furnished,225,7,"csr complex, ekta nagar, kandivali west",0,"₹ 10,000"
Apartments,2,2,Unfurnished,615,1200,West,3,"₹ 10,000"
Apartments,1,2,Unfurnished,478,500,West,3,"₹ 10,000"
Apartments,1,1,Semi-Furnished,240,7,Csr complex kandivali West,3,"₹ 8,000"
Apartments,2,1,Semi-Furnished,1000,1000,North,3,"₹ 7,000"
Apartments,1,2,Semi-Furnished,480,0,North-East,9,"₹ 12,500"
Apartments,2,2,Semi-Furnished,525,1500,North-East,6,"₹ 11,00,000"
Apartments,2,1,Unfurnished,900,4,"2BHk, Rent 13000",0,"₹ 13,000"
Apartments,1,2,Semi-Furnished,380,0,East,20,"₹ 22,000"
Apartments,3,3,Furnished,1200,500,North-East,6,"₹ 5,500"
Apartments,2,2,Furnished,800,3,MI Pride,1,"₹ 18,000"
Apartments,1,1,Unfurnished,448,0,North,8,"₹ 10,000"
Houses & Villas,1,1,Semi-Furnished,900,2,Pink bungalow,3+,"₹ 11,000"
Apartments,3,2,Unfurnished,900,0,West,6,"₹ 36,500"
Houses & Villas,1,1,Unfurnished,850,0,South,1,"₹ 4,500"
Builder Floors,1,1,Semi-Furnished,550,500,North-East,4,"₹ 2,500"
Apartments,2,2,Furnished,860,0,North-East,14,"₹ 18,000"
Apartments,1,1,Semi-Furnished,410,0,North-East,5,"₹ 10,500"
Apartments,1,1,Semi-Furnished,420,0,North-East,7,"₹ 13,000"
Apartments,2,1,Semi-Furnished,795,0,North-East,7,"₹ 17,000"
Apartments,1,1,Furnished,450,0,North-East,7,"₹ 18,000"
Apartments,1,1,Furnished,435,0,North-East,14,"₹ 20,000"
Apartments,1,2,Furnished,430,0,North-East,7,"₹ 17,000"
Apartments,2,1,Semi-Furnished,700,750,East,4,"₹ 11,000"
Apartments,2,1,Semi-Furnished,00,00,North-East,3,"₹ 5,000"
Apartments,2,2,Semi-Furnished,1200,0,South-East,12,"₹ 4,000"
Apartments,1,1,Unfurnished,485,1225,East,07,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,2,Semi-Furnished,405,0,North-East,19,"₹ 13,000"
Apartments,2,2,Semi-Furnished,900,2050,East,14,"₹ 14,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,250,0,On Request,10,"₹ 18,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,760,1500,East,4,"₹ 16,000"
Apartments,1,1,Semi-Furnished,350,200,South-West,4,"₹ 3,000"
Apartments,2,2,Semi-Furnished,880,00,Premier,7,"₹ 35,00,000"
Apartments,2,2,Semi-Furnished,850,0,North-East,12,"₹ 20,500"
Apartments,1,1,Unfurnished,490,500,East,9,"₹ 14,000"
Apartments,1,1,Unfurnished,450,0,West,4,"₹ 12,000"
Apartments,2,2,Semi-Furnished,700,500,South-West,3,"₹ 10,000"
Apartments,1,1,Unfurnished,250,7,CITIZENS CHS LTD,6,"₹ 9,000"
Apartments,1,1,Unfurnished,520,500,West,4,"₹ 8,000"
Apartments,2,2,Semi-Furnished,1000,1000,East,12,"₹ 18,000"
Builder Floors,2,2,Unfurnished,750,600,North-East,07,"₹ 10,00,000"
Apartments,1,1,Unfurnished,435,0,East,7,"₹ 7,500"
Apartments,2,2,Furnished,1000,700,North,4,"₹ 12,000"
Apartments,2,2,Unfurnished,850,0,North-East,12,"₹ 10,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,425,0,East,7,"₹ 7,000"
Apartments,2,2,Unfurnished,850,0,North,5,"₹ 16,000"
Houses & Villas,3,2,Semi-Furnished,2000,12,North-East,2,"₹ 12,000"
Houses & Villas,1,1,Unfurnished,580,200,North-East,2,"₹ 7,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,430,17000,North-East,2,"₹ 17,000"
Houses & Villas,2,1,Furnished,600,0,North-East,0,"₹ 7,000"
Apartments,3,3,Semi-Furnished,840,0,North-East,7,"₹ 23,500"
Apartments,1,2,Semi-Furnished,425,0,North-East,7,"₹ 15,000"
Apartments,2,2,Semi-Furnished,625,0,North-East,14,"₹ 18,500"
Apartments,1,2,Semi-Furnished,405,0,North-East,7,"₹ 14,000"
Apartments,1,2,Semi-Furnished,390,0,North-East,7,"₹ 13,500"
Apartments,1,2,Semi-Furnished,410,0,North-East,14,"₹ 16,500"
Apartments,1,1,Semi-Furnished,480,4,Magshrish,2,"₹ 11,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,250,7,CITIZENS CHS LTD,6,"₹ 10,000"
Apartments,1,1,Semi-Furnished,400,0,North-West,4,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,735,0,North-East,18,"₹ 30,000"
Apartments,1,1,Unfurnished,600,400,East,4,"₹ 7,000"
Apartments,1,1,Unfurnished,425,500,East,20,"₹ 10,000"
Builder Floors,1,2,Furnished,400,800,North-West,7,"₹ 7,500"
Apartments,1,1,Unfurnished,280,1000,East,22,"₹ 16,000"
Apartments,2,2,Unfurnished,850,3000,East,6,"₹ 22,000"
Apartments,1,1,Unfurnished,400,300,East,4,"₹ 23,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Unfurnished,50,4500,Nishad kulkarni,0,"₹ 4,500"
Apartments,3,3,Unfurnished,1400,0,East,7,"₹ 70,000"
Houses & Villas,2,2,Unfurnished,130,300,East,2,"₹ 11,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,237,000,1 bhk rent,40,"₹ 22,000"
Apartments,1,2,Furnished,480,0,North-East,14,"₹ 18,000"
Apartments,2,2,Unfurnished,390,0,North-East,8,"₹ 21,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,300,2,Ashoka society,1,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,480,0,North-East,7,"₹ 12,500"
Apartments,1,2,Furnished,410,0,North-East,7,"₹ 15,000"
Apartments,1,2,Furnished,378,0,North-East,6,"₹ 15,000"
Apartments,1,2,Semi-Furnished,425,0,North-East,12,"₹ 14,500"
Builder Floors,1,2,Unfurnished,375,0,North-East,4,"₹ 12,500"
Apartments,1,2,Unfurnished,380,0,North-East,7,"₹ 13,000"
Houses & Villas,3,1,Unfurnished,300,00,North,1,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Semi-Furnished,108,500,West,0,"₹ 2,500"
Apartments,1,1,Unfurnished,449,8,Casa Rio Lodha Palava City Dombivli East,1,"₹ 8,500"
Houses & Villas,1,1,Semi-Furnished,4,2,Prakash Jadhav,2,"₹ 5,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,2,Furnished,350,0,East,7,"₹ 6,000"
Apartments,2,1,Furnished,700,150,Kudale patil estate,4,"₹ 3,500"
Apartments,1,1,Unfurnished,299,10,Ram Smrut & KISHOR VILLA,6,"₹ 30,000"
Apartments,2,2,Semi-Furnished,800,0,North,14,"₹ 45,000"
Apartments,3,3,Semi-Furnished,1350,500,West,3,"₹ 16,000"
Houses & Villas,1,1,Unfurnished,812,0,North-West,1,"₹ 4,000"
Builder Floors,2,2,Semi-Furnished,980,0,East,4,"₹ 18,000"
Apartments,2,1,Semi-Furnished,1250,4000,East,3,"₹ 4,000"
Apartments,1,1,Unfurnished,250,7,CITIZENS CHS LTD,3,"₹ 10,000"
Apartments,1,Unfurnished,Owner,Yes,4,Ganraj residency,3,"₹ 4,000"
Houses & Villas,1,1,Semi-Furnished,300,0,West,1,"₹ 5,500"
Houses & Villas,2,1,Unfurnished,650,0,North,1,"₹ 1,500"
Apartments,1,1,Unfurnished,481,2000,East,7,"₹ 22,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,1,Furnished,790,500,North,2,"₹ 9,500"
Apartments,3,3,Unfurnished,600,100,East,3,"₹ 13,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,2,Unfurnished,450,2000,North,24,"₹ 38,000"
Apartments,2,2,Furnished,700,0,East,8,"₹ 25,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,850,15,Mantra insignia,5,"₹ 11,999"
Apartments,2,2,Unfurnished,760,0,15 mint walking distance from station,7,"₹ 14,200"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,1,Unfurnished,660,0,Sai- B Appartment,2,"₹ 10,000"
Apartments,2,1,Semi-Furnished,950,800,East,3,"₹ 11,000"
Apartments,1,1,Semi-Furnished,270,200,East,2,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,950,500,West,4,"₹ 9,000"
Apartments,2,2,Furnished,650,0,East,10,"₹ 16,500"
Apartments,1,1,Unfurnished,300,0,East,5,"₹ 8,000"
Houses & Villas,1,1,Unfurnished,350,0,North-East,2,"₹ 6,000"
Apartments,1,1,Unfurnished,550,7000,North,7,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,400,9,SUNSHINE,2,"₹ 9,500"
Apartments,1,1,Unfurnished,794,0,North-East,14,"₹ 14,500"
Builder Floors,1,1,Unfurnished,650,500,East,7,"₹ 16,000"
Houses & Villas,2,2,Unfurnished,1100,0000,East,1,"₹ 8,000"
Apartments,3,2,Unfurnished,1880,1000,East,4,"₹ 20,000"
Apartments,2,2,Semi-Furnished,715,0,North-East,19,"₹ 17,000"
Apartments,1,1,Semi-Furnished,380,000,East,4,"₹ 6,500"
Apartments,3,2,Unfurnished,1018,0,East,15,"₹ 50,000"
Apartments,1,1,Semi-Furnished,550,0,West,3,"₹ 11,500"
Apartments,2,2,Dealer,Yes,11,ganga constell,2,"₹ 22,000"
Builder Floors,1,1,Unfurnished,650,500,East,7,"₹ 16,000"
Houses & Villas,2,2,Unfurnished,1100,0000,East,1,"₹ 8,000"
Apartments,3,2,Unfurnished,1018,0,East,15,"₹ 50,000"
Apartments,1,1,Semi-Furnished,550,0,West,3,"₹ 11,500"
Apartments,2,2,Dealer,Yes,11,ganga constell,2,"₹ 22,000"
Houses & Villas,1,1,Semi-Furnished,300,0,East,2,"₹ 6,501"
Apartments,2,2,Unfurnished,850,500,West,7,"₹ 8,500"
Apartments,2,2,Unfurnished,No,4,Sai Balaji Apartment,2,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,850,0,East,2,"₹ 15,000"
Apartments,2,2,Semi-Furnished,850,500,North-West,3,"₹ 9,000"
Apartments,1,1,Unfurnished,550,2000,East,6,"₹ 8,500"
Apartments,2,2,Unfurnished,760,0,15 mint walking distance from station,7,"₹ 14,200"
Apartments,1,1,Semi-Furnished,299,8,Acharatbaug & Jai Malhar Building,5,"₹ 35,000"
Apartments,2,2,Furnished,735,0,North-East,18,"₹ 30,000"
Apartments,2,2,Semi-Furnished,950,500,West,3,"₹ 13,000"
Apartments,1,1,Unfurnished,360,720,East,7,"₹ 5,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,500,1450,East,6,"₹ 9,000"
Houses & Villas,1,1,Semi-Furnished,460,4,No,0,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,550,25000,North,5,"₹ 9,000"
Apartments,1,1,Unfurnished,450,8000,North-East,3,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,300,00,East,1,"₹ 12,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,400,00,North-East,11,"₹ 7,300"
Apartments,1,1,Unfurnished,510,750,East,12,"₹ 9,500"
Apartments,2,2,Semi-Furnished,840,2000,East,6,"₹ 23,000"
Apartments,2,2,Unfurnished,700,0,East,7,"₹ 40,000"
Apartments,1,1,Furnished,491,10,Leisure Town Hadapsar,1,"₹ 22,000"
Builder Floors,1,1,Semi-Furnished,160,0,South-East,5,"₹ 12,000"
Apartments,3,2,Unfurnished,1880,1000,East,4,"₹ 20,000"
Apartments,2,2,Unfurnished,550,30000,North-East,14,"₹ 30,000"
Apartments,3,3,Unfurnished,1050,1200,East,12,"₹ 22,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Semi-Furnished,520,0,East,2,"₹ 14,000"
Apartments,1,1,Unfurnished,275,0,East,2,"₹ 5,500"
Apartments,1,1,Unfurnished,600,450,East,5,"₹ 6,000"
Apartments,1,1,Unfurnished,250,7,CITIZENS CHS LTD,4,"₹ 9,500"
Apartments,2,2,Semi-Furnished,1100,200,East,3,"₹ 12,500"
Houses & Villas,3,3,Unfurnished,1300,0,POTTAYIL,1,"₹ 14,000"
Houses & Villas,2,2,Semi-Furnished,1250,0,East,1,"₹ 14,000"
Apartments,2,2,Semi-Furnished,700,0,South,2,"₹ 20,000"
Apartments,2,2,Unfurnished,750,10000,Own,1,"₹ 10,000"
Apartments,2,2,Furnished,369,1000,A star realtors,3,"₹ 13,000"
Houses & Villas,2,2,Semi-Furnished,250,0,East,2,"₹ 8,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,200,0,East,2,"₹ 9,500"
Houses & Villas,2,2,Furnished,1180,1000,Swas,2,"₹ 5,000"
Apartments,2,2,Semi-Furnished,1500,1500,Vega Pavilion Appartments,3,"₹ 3,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Unfurnished,200,15000,North,2,"₹ 15,000"
Houses & Villas,2,2,Semi-Furnished,950,1000,East,1,"₹ 12,000"
Houses & Villas,2,1,Furnished,600,0,North-West,1,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,3,Semi-Furnished,500,0,East,2,"₹ 15,000"
Apartments,3,3,Semi-Furnished,100,0,East,17,"₹ 18,000"
Apartments,2,2,Furnished,500,500,North-East,3,"₹ 16,000"
Houses & Villas,3,3,Furnished,1800,0,North-East,2,"₹ 1,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,2,Semi-Furnished,1000,1000,North-East,2,"₹ 12,000"
Apartments,2,2,Semi-Furnished,1000,1400,North-East,3,"₹ 11,000"
Houses & Villas,1,2,Semi-Furnished,1100,8000,South,2,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Furnished,750,8500,East,2,"₹ 8,500"
Apartments,2,2,Furnished,0,0,South-West,6,"₹ 18,000"
Apartments,2,2,Semi-Furnished,1000,3,Apartment,1,"₹ 9,000"
Houses & Villas,1,2,Unfurnished,400,7000,South,1,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,3,Furnished,1408,0,East,2,"₹ 16,000"
Houses & Villas,4+,4+,Unfurnished,5000,100,Ullas Francis,4,"₹ 50,000"
Apartments,3,3,Furnished,790,3000,A star realtors,18,"₹ 21,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1400,4000,National Sunny Palace,12,"₹ 18,000"
Apartments,3,3,Furnished,634,3400,A star realtors,15,"₹ 17,000"
Houses & Villas,4,4,Semi-Furnished,2000,0,East,2,"₹ 20,000"
Apartments,3,3,Unfurnished,1018,15000,North-East,3,"₹ 15,000"
Apartments,3,3,Furnished,1400,15000,South-East,3,"₹ 15,000"
Houses & Villas,2,2,Semi-Furnished,1200,13000,9387555001,2,"₹ 12,000"
Houses & Villas,2,2,Semi-Furnished,950,1,House for rent,1,"₹ 9,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,800,0,PM House,1,"₹ 10,000"
Apartments,3,3,Semi-Furnished,1300,2000,East,10,"₹ 15,000"
Houses & Villas,3,2,Semi-Furnished,1500,500,East,2,"₹ 22,000"
Apartments,2,2,Semi-Furnished,1000,3,AS Dreams,1,"₹ 9,000"
Apartments,3,3,Semi-Furnished,1400,3000,East,4,"₹ 17,000"
Apartments,3,3,Semi-Furnished,1200,0,South-East,14,"₹ 20,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,650,7000,West,2,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,750,0,Sneha Apartment Complex,0,"₹ 6,000"
Houses & Villas,2,2,Furnished,950,1000,West,2,"₹ 15,000"
Apartments,2,1,Unfurnished,100,250,North,3,"₹ 8,000"
Apartments,2,2,Furnished,950,2800,East,7,"₹ 13,200"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,300,0,East,2,"₹ 3,000"
Apartments,1,1,Semi-Furnished,250,200,North,3,"₹ 4,300"
Houses & Villas,2,2,Unfurnished,1000,10000,East,2,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,1000,500,East,2,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,3,Semi-Furnished,1800,0,MOBILE 9846020112,2,"₹ 15,000"
Apartments,2,2,Semi-Furnished,750,2000,South-East,15,"₹ 20,000"
Apartments,1,1,Unfurnished,800,0,MOBILE 9846020112,3,"₹ 10,000"
Apartments,2,2,Unfurnished,1100,0,MOBILE 9846020112,3,"₹ 13,000"
Houses & Villas,2,2,Furnished,350,0,West,3,"₹ 12,000"
Apartments,2,2,Unfurnished,950,0,MOBILE 9846020112,2,"₹ 7,500"
Apartments,2,2,Furnished,1100,2000,East,8,"₹ 18,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,850,1000,North-East,10,"₹ 17,500"
Apartments,3,3,Furnished,1100,1500,North-East,9,"₹ 21,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,2,Furnished,1500,6000,East,1,"₹ 6,000"
Houses & Villas,2,2,Unfurnished,850,1,Noushad,0,"₹ 9,500"
Apartments,3,2,Semi-Furnished,1300,1000,West,4,"₹ 7,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1100,2000,MOBILE 9846020112,8,"₹ 12,500"
Houses & Villas,3,2,Unfurnished,1200,1,Gangamanthiram,1,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,800,0,East,3,"₹ 9,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,850,2,UTRA-44-A,1,"₹ 1,200"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,650,100,West,2,"₹ 12,000"
Houses & Villas,2,2,Unfurnished,1050,2,Devadeyam,1,"₹ 7,000"
Houses & Villas,4+,4+,Furnished,3000,2000,East,2,"₹ 25,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,3,Furnished,2500,2000,East,2,"₹ 20,000"
Houses & Villas,3,4,Semi-Furnished,1750,2,9387555001,1,"₹ 25,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,1,Unfurnished,500,0,North-East,2,"₹ 7,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
